StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AveragePrice,ABC_Class,MovementCategory
21843,RED RETROSPOT CAKE STAND,4298,42862.74,984,10.869421319796954,A,Fast Moving
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,42463.2,1457,4.893550577053632,A,Fast Moving
21754,HOME BUILDING BLOCK WORD,7231,42453.11,1831,5.963963282937365,A,Fast Moving
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,41824.26,1043,1.6490377358490569,A,Fast Moving
21175,GIN + TONIC DIET METAL SIGN,19755,40940.78,1385,2.259413027916965,A,Fast Moving
22457,NATURAL SLATE HEART CHALKBOARD ,14187,40276.170000000006,1637,2.9584354154032746,A,Fast Moving
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,40219.82,1144,2.9324567474048444,A,Fast Moving
48138,DOORMAT UNION FLAG,6146,40053.72,874,7.668266818700114,A,Fast Moving
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,39909.170000000006,1773,2.8997430167597766,A,Fast Moving
20727,LUNCH BAG  BLACK SKULL.,25392,39904.0,1997,1.63999511002445,A,Fast Moving
21915,RED  HARMONICA IN BOX ,35229,39870.65,884,1.2519775280898875,A,Fast Moving
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34,644,3.192735562310031,A,Fast Moving
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,39682.67,1818,1.2356750941366326,A,Fast Moving
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2,649.5,A,Slow Moving
21166,COOK WITH WINE METAL SIGN ,19652,37029.34,1225,1.977408906882591,A,Fast Moving
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,37011.1,1658,2.564078947368421,A,Fast Moving
20728,LUNCH BAG CARS BLUE,23304,36644.28,1797,1.6495274725274724,A,Fast Moving
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,36259.65,234,38.49700854700856,A,Medium Moving
22629,SPACEBOY LUNCH BOX ,20271,36150.99,1108,1.930375335120644,A,Fast Moving
23284,DOORMAT KEEP CALM AND COME IN,5338,35880.85,648,7.91196319018405,A,Fast Moving
23298,SPOTTY BUNTING,7633,35509.55,1003,4.917840236686391,A,Fast Moving
85066,CREAM SWEETHEART MINI CHEST,2948,35264.73,809,12.656833740831296,A,Fast Moving
20713,JUMBO BAG OWLS,19463,35162.42,920,1.967599569429494,A,Fast Moving
48194,DOORMAT HEARTS,5788,35069.4,857,7.629965075669383,A,Fast Moving
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,34479.62,1298,4.023521772345302,A,Fast Moving
22960,JAM MAKING SET WITH JARS,8454,33833.72,903,4.181095132743363,A,Fast Moving
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,33670.240000000005,985,2.9206344410876133,A,Fast Moving
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,33298.3,1146,4.953637152777778,A,Fast Moving
20726,LUNCH BAG WOODLAND,20916,33004.76,1585,1.6512445550715618,A,Fast Moving
22197,SMALL POPCORN HOLDER,42955,32505.93,1039,0.8353918791312559,A,Fast Moving
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,32470.65,1056,2.915397567820393,A,Fast Moving
20725,LUNCH BAG RED RETROSPOT,20294,32137.5,1520,1.656367771280052,A,Fast Moving
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,31876.47,956,3.784886128364389,A,Fast Moving
20685,DOORMAT RED RETROSPOT,4806,31864.2,758,7.739288537549407,A,Fast Moving
21755,LOVE BUILDING BLOCK WORD,5367,31590.41,1485,5.965843293492696,A,Fast Moving
48187,DOORMAT NEW ENGLAND,5146,31461.34,728,7.720205479452055,A,Fast Moving
22630,DOLLY GIRL LUNCH BOX,17340,30921.64,998,1.9443280632411064,A,Fast Moving
22727,ALARM CLOCK BAKELIKE RED ,8512,30703.09,1144,3.7613965517241374,A,Fast Moving
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,30615.930000000004,1300,2.081425304878049,A,Fast Moving
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,30363.75,1002,8.026528599605522,A,Fast Moving
22382,LUNCH BAG SPACEBOY DESIGN ,18834,30131.7,1874,1.6465396825396823,A,Fast Moving
22385,JUMBO BAG SPACEBOY DESIGN,16383,29810.15,971,1.979439918533605,A,Fast Moving
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95,572,7.738181818181817,A,Fast Moving
48185,DOORMAT FAIRY CAKE,4760,29116.96,420,7.754893111638955,A,Fast Moving
20712,JUMBO BAG WOODLAND ANIMALS,15709,29105.5,915,1.9862594594594596,A,Fast Moving
15036,ASSORTED COLOURS SILK FAN,40994,28766.32,634,0.7659527559055118,A,Fast Moving
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,28581.4,810,5.4121349693251535,A,Fast Moving
20679,EDWARDIAN PARASOL RED,6029,28557.92,622,5.819614767255216,A,Fast Moving
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.300000000003,787,2.9024405506883606,A,Fast Moving
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,1053,6.194406779661017,A,Fast Moving
22379,RECYCLING BAG RETROSPOT ,14259,27893.78,1013,2.09366927592955,A,Fast Moving
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,27595.33,1145,4.975026086956522,A,Fast Moving
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058,2.1029791099000907,A,Fast Moving
22188,BLACK HEART CARD HOLDER,10255,27324.45,487,3.838258196721312,A,Fast Moving
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,511,10.414902723735407,A,Fast Moving
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,1.6314392523364485,A,Fast Moving
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277,2.953152594887684,A,Fast Moving
22077,6 RIBBONS RUSTIC CHARM,16026,27031.04,1361,1.7178992805755398,A,Fast Moving
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721,1.914484181568088,A,Fast Moving
22659,LUNCH BOX I LOVE LONDON,15156,26596.72,763,1.925752551020408,A,Fast Moving
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.28,718,4.932690707350902,A,Fast Moving
23199,JUMBO BAG APPLES,13875,26426.3,718,2.0620027624309394,A,Fast Moving
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35,1578,0.5449906425452278,A,Fast Moving
22467,GUMBALL COAT RACK,11460,26149.13,928,2.497053191489362,A,Fast Moving
22492,MINI PAINT SET VINTAGE ,41507,25900.19,618,0.6521359223300971,A,Fast Moving
72741,GRAND CHOCOLATECANDLE,19284,25895.4,823,1.421912832929782,A,Fast Moving
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.92,1765,0.5432928847214562,A,Fast Moving
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,577,8.411470085470086,A,Fast Moving
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,1041,3.781159695817491,A,Fast Moving
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712,1.9206675938803892,A,Fast Moving
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,24323.85,465,1.9092356687898089,A,Fast Moving
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.55,719,4.866142270861833,A,Fast Moving
47566B,TEA TIME PARTY BUNTING,5612,24255.3,655,4.725340393343419,A,Fast Moving
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189,2.0936026380873867,A,Fast Moving
48138,DOOR MAT UNION FLAG,3733,24216.23,637,7.056379310344828,A,Fast Moving
23201,JUMBO BAG ALPHABET,12533,24160.44,752,2.0582430647291945,A,Fast Moving
22624,IVORY KITCHEN SCALES,2916,24137.48,1065,8.530816135084429,A,Fast Moving
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920,0.2619978284473398,A,Fast Moving
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,23812.52,1224,1.256736672051696,A,Fast Moving
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,465,10.618497854077251,A,Fast Moving
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.51,1100,0.6429443447037702,A,Fast Moving
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003,1.253929273084479,A,Fast Moving
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,633,5.431876971608832,A,Fast Moving
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933,2.928878306878307,A,Fast Moving
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939,2.089715447154472,A,Fast Moving
22197,POPCORN HOLDER,30919,23417.51,632,0.8432312404287902,A,Fast Moving
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244,1.2495665878644602,A,Fast Moving
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408,1.9980487804878049,A,Fast Moving
22551,PLASTERS IN TIN SPACEBOY,14623,23194.95,1156,1.6505128205128203,A,Fast Moving
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.53,815,4.938075060532688,A,Fast Moving
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,737,4.923924221921516,A,Fast Moving
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704,2.906381486676017,A,Fast Moving
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354,9.70313725490196,A,Fast Moving
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820,2.074575866188769,A,Fast Moving
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.99,815,0.8305875152998776,A,Fast Moving
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,997,1.9759742828882292,A,Fast Moving
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,646,2.9539024390243904,A,Fast Moving
22961,JAM MAKING SET PRINTED,15867,22328.95,903,1.4706291390728476,A,Fast Moving
22867,HAND WARMER BIRD DESIGN,11000,22168.33,907,2.100426439232409,A,Fast Moving
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,385,4.887694300518135,A,Fast Moving
82600,NO SINGING METAL SIGN,11194,22097.04,970,2.0697643442622957,A,Fast Moving
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.74,1087,1.2278837420526794,A,Fast Moving
22383,LUNCH BAG SUKI  DESIGN ,13896,22026.4,1073,1.6415750915750915,A,Fast Moving
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,1160,0.5364412510566356,A,Fast Moving
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,1171,1.2468948247078464,A,Fast Moving
21481,FAWN BLUE HOT WATER BOTTLE,7526,21779.5,834,3.1203333333333334,A,Fast Moving
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,21682.03,1003,2.9468297455968693,A,Fast Moving
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,1348,0.5452838427947598,A,Fast Moving
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.44,789,1.227171464330413,A,Fast Moving
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.17,599,2.7292532467532467,A,Fast Moving
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,21458.42,544,8.376727941176469,A,Fast Moving
22835,HOT WATER BOTTLE I AM SO POORLY,4638,21398.28,815,4.77002444987775,A,Fast Moving
22728,ALARM CLOCK BAKELIKE PINK,5833,21369.98,772,3.777695262483995,A,Fast Moving
22087,PAPER BUNTING WHITE LACE,7752,21336.35,663,2.891445427728614,A,Fast Moving
84406B,CREAM CUPID HEARTS COAT HANGER,6682,21256.0,724,3.38114010989011,A,Fast Moving
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,726,7.783772290809328,A,Fast Moving
22607,WOODEN ROUNDERS GARDEN SET ,2406,20978.47,643,9.09470588235294,A,Fast Moving
22113,GREY HEART HOT WATER BOTTLE,5623,20977.78,913,3.870615711252654,A,Fast Moving
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,20950.16,1100,1.6515714285714285,A,Fast Moving
22090,PAPER BUNTING RETROSPOT,7632,20933.24,658,2.9078280542986428,A,Fast Moving
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,2.078562259306804,A,Fast Moving
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,20838.9,758,3.8243483870967743,A,Fast Moving
22605,WOODEN CROQUET GARDEN SET,1710,20813.81,548,13.36233151183971,A,Medium Moving
22090,PAPER BUNTING RETRO SPOTS,7595,20723.25,607,2.9139837398373984,A,Fast Moving
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,2.061926751592357,A,Fast Moving
21314,SMALL GLASS HEART TRINKET POT,10447,20588.26,711,2.086136680613668,A,Fast Moving
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,20506.300000000003,654,3.917018072289157,A,Fast Moving
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.68,1097,1.648271827182718,A,Fast Moving
22698,PINK REGENCY TEACUP AND SAUCER,7408,20329.640000000003,746,2.925139813581891,A,Fast Moving
48184,DOORMAT ENGLISH ROSE ,3158,20298.8,464,7.711163793103449,A,Fast Moving
20711,JUMBO BAG TOYS ,11326,20283.78,671,1.9533382789317504,A,Fast Moving
22969,HOMEMADE JAM SCENTED CANDLES,14012,20204.8,577,1.4492720970537265,A,Fast Moving
37449,CERAMIC CAKE STAND + HANGING CAKES,2277,20204.58,410,9.582457420924571,A,Fast Moving
21790,VINTAGE SNAP CARDS,25120,19957.34,1480,0.8475531914893617,A,Fast Moving
22585,PACK OF 6 BIRDY GIFT TAGS,16784,19950.85,950,1.2484327603640042,A,Fast Moving
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4304,19921.27,692,4.89958393113343,A,Fast Moving
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,19821.96,1141,0.8483304347826086,A,Fast Moving
22083,PAPER CHAIN KIT RETRO SPOT,7351,19804.550000000003,490,2.897267206477733,A,Fast Moving
22617,BAKING SET SPACEBOY DESIGN,4165,19719.21,883,4.983217097862768,A,Fast Moving
22294,HEART FILIGREE DOVE  SMALL,16260,19686.6,707,1.245629228687415,A,Fast Moving
22941,CHRISTMAS LIGHTS 10 REINDEER,2487,19590.9,406,8.442137592137591,A,Fast Moving
22273,FELTCRAFT DOLL MOLLY,7203,19332.93,701,2.947116736990155,A,Fast Moving
22570,FELTCRAFT CUSHION RABBIT,5420,19282.55,677,3.732161764705882,A,Fast Moving
21524,DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5,636,7.825094339622642,A,Fast Moving
48188,DOORMAT WELCOME PUPPIES,3345,19178.67,368,7.803179347826087,A,Fast Moving
22625,RED KITCHEN SCALES,2360,19149.63,781,8.440307298335467,A,Fast Moving
21791,VINTAGE HEADS AND TAILS CARD GAME ,16199,19147.65,1050,1.2553514526710403,A,Fast Moving
22568,FELTCRAFT CUSHION OWL,5312,19128.13,771,3.759832041343669,A,Fast Moving
22569,FELTCRAFT CUSHION BUTTERFLY,5357,18865.21,679,3.730334302325581,A,Fast Moving
22413,METAL SIGN TAKE IT OR LEAVE IT ,6814,18863.02,766,2.942393272962484,A,Fast Moving
85150,LADIES & GENTLEMEN METAL SIGN,8078,18847.98,889,2.5220805369127515,A,Fast Moving
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,18798.98,281,1.2356028368794325,A,Fast Moving
22501,PICNIC BASKET WICKER LARGE,2055,18794.25,497,9.797122736418512,A,Fast Moving
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,18618.75,432,7.75091533180778,A,Fast Moving
21622,VINTAGE UNION JACK CUSHION COVER,3517,18495.47,550,4.949712230215828,A,Fast Moving
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13410,18411.74,1017,1.4597565725413828,A,Fast Moving
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18,1156,0.5392444821731749,A,Fast Moving
22499,WOODEN UNION JACK BUNTING,3165,18251.28,632,5.9413679245283015,A,Fast Moving
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866,1.6413439635535307,A,Fast Moving
22384,LUNCH BAG PINK POLKADOT,11392,18207.2,1101,1.651290322580645,A,Fast Moving
21908,CHOCOLATE THIS WAY METAL SIGN,9396,18041.24,801,2.107663782447466,A,Fast Moving
84949,SILVER HANGING T-LIGHT HOLDER,11635,18001.35,612,1.632958199356913,A,Fast Moving
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,17888.71,383,12.110182291666666,A,Medium Moving
22561,WOODEN SCHOOL COLOURING SET,11158,17861.22,838,1.6494392523364485,A,Fast Moving
21174,POTTERING IN THE SHED METAL SIGN,9247,17814.51,855,1.9918013856812933,A,Fast Moving
22555,PLASTERS IN TIN STRONGMAN,11048,17664.44,856,1.6477445339470655,A,Fast Moving
22456,NATURAL SLATE CHALKBOARD LARGE ,4016,17637.16,595,4.880536912751678,A,Fast Moving
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586,2.070135135135135,A,Fast Moving
22427,ENAMEL FLOWER JUG CREAM,3039,17471.23,702,5.912011331444759,A,Fast Moving
21936,RED RETROSPOT PICNIC BAG,6292,17462.96,701,2.938879432624114,A,Fast Moving
22061,LARGE CAKE STAND  HANGING STRAWBERY,2086,17354.85,443,9.548828828828828,A,Fast Moving
22147,FELTCRAFT BUTTERFLY HEARTS,12605,17238.05,1026,1.4482816901408448,A,Fast Moving
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,17162.93,559,1.2380069324090122,A,Fast Moving
21479,WHITE SKULL HOT WATER BOTTLE ,4538,16917.32,738,3.8781432360742714,A,Fast Moving
21136,PAINTED METAL PEARS ASSORTED,10255,16907.51,714,1.6879916897506926,A,Fast Moving
22633,HAND WARMER UNION JACK,8364,16857.36,790,2.0868471720818293,A,Fast Moving
22560,TRADITIONAL MODELLING CLAY,14393,16851.64,655,1.251544227886057,A,Fast Moving
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.35,585,0.8471959459459459,A,Fast Moving
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454,2.0462800875273524,A,Fast Moving
22169,FAMILY ALBUM WHITE PICTURE FRAME,2094,16676.94,570,8.373842105263158,A,Fast Moving
22505,MEMO BOARD COTTAGE DESIGN,3605,16599.89,655,4.918519637462236,A,Fast Moving
21218,RED SPOTTY BISCUIT TIN,4715,16431.45,588,3.713952702702703,A,Fast Moving
22847,BREAD BIN DINER STYLE IVORY,1049,16335.79,435,16.50880459770115,A,Medium Moving
84992,72 SWEETHEART FAIRY CAKE CASES,33936,16178.47,1176,0.5467901234567901,A,Fast Moving
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2266,15892.74,508,7.849863813229572,A,Fast Moving
21164,HOME SWEET HOME METAL SIGN ,5839,15888.490000000002,630,2.9307278481012657,A,Fast Moving
22297,HEART IVORY TRELLIS SMALL,12939,15836.59,646,1.2510660660660662,A,Fast Moving
22424,ENAMEL BREAD BIN CREAM,1300,15621.65,559,12.654785714285715,A,Medium Moving
48173C,DOORMAT BLACK FLOCK ,2813,15618.36,290,7.661408934707905,A,Fast Moving
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9827,15614.59,991,1.6611874386653582,A,Fast Moving
22083,PAPER CHAIN KIT RETROSPOT,5514,15411.86,585,2.945646258503402,A,Fast Moving
21877,HOME SWEET HOME MUG,13856,15399.56,650,1.314616564417178,A,Fast Moving
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899,1.6533224043715846,A,Fast Moving
22690,DOORMAT HOME SWEET HOME BLUE ,2493,15329.57,401,7.726791044776119,A,Fast Moving
71053,WHITE METAL LANTERN,4306,15309.64,583,3.6891666666666665,A,Fast Moving
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,15305.19,872,1.6511098527746315,A,Fast Moving
22632,HAND WARMER RED RETROSPOT,7578,15272.52,675,2.091244635193133,A,Fast Moving
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,15241.51,821,0.9765096618357488,A,Fast Moving
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6418,15232.34,798,2.5467447595561032,A,Fast Moving
22296,HEART IVORY TRELLIS LARGE,9416,15218.08,739,1.650894736842105,A,Fast Moving
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534,1.2427746741154562,A,Fast Moving
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1632,15172.6,444,9.841973094170402,A,Medium Moving
20685,DOOR MAT RED SPOT,2426,15093.48,369,7.176531165311653,A,Fast Moving
22041,"RECORD FRAME 7"" SINGLE SIZE ",6845,15088.77,319,2.454953560371517,A,Fast Moving
21843,RETRO SPOT CAKE STAND,1431,15083.45,295,10.86864406779661,A,Medium Moving
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4198,15067.14,416,3.73127358490566,A,Fast Moving
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,1062,0.8416168224299065,A,Fast Moving
22634,CHILDS BREAKFAST SET SPACEBOY ,1627,15021.4,464,9.744635193133048,A,Medium Moving
22502,PICNIC BASKET WICKER SMALL,2985,14945.6,566,5.235726795096322,A,Fast Moving
22652,TRAVEL SEWING KIT,9353,14859.81,716,1.6529080932784637,A,Fast Moving
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.01,1133,0.548360655737705,A,Fast Moving
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3405,14796.15,373,5.878016085790884,A,Fast Moving
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1598,14787.95,450,9.789601769911505,A,Medium Moving
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4169,14719.35,578,3.705662650602409,A,Fast Moving
21914,BLUE HARMONICA IN BOX ,11830,14667.47,815,1.2688526570048309,A,Fast Moving
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2309,14658.65,510,6.686,A,Fast Moving
17003,BROCADE RING PURSE ,70082,14640.96,387,0.2653689567430025,A,Fast Moving
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451,2.0591832229580573,A,Fast Moving
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4051,14609.91,460,3.732167381974249,A,Fast Moving
21891,TRADITIONAL WOODEN SKIPPING ROPE,11721,14603.13,664,1.3205822416302766,A,Fast Moving
82582,AREA PATROLLED METAL SIGN,7346,14563.1,696,2.096695156695157,A,Fast Moving
84375,SET OF 20 KIDS COOKIE CUTTERS,7275,14558.97,626,2.0890506329113925,A,Fast Moving
20750,RED RETROSPOT MINI CASES,2021,14548.55,479,7.777027027027027,A,Fast Moving
22193,RED DINER WALL CLOCK,1775,14527.09,554,8.479584837545126,A,Medium Moving
85014B,RED RETROSPOT UMBRELLA,2613,14439.12,421,6.046413301662708,A,Fast Moving
21889,WOODEN BOX OF DOMINOES,11803,14430.66,869,1.2633558558558555,A,Fast Moving
21258,VICTORIAN SEWING BOX LARGE,1229,14406.63,344,12.59304347826087,A,Medium Moving
22487,WHITE WOOD GARDEN PLANT LADDER,1519,14256.96,808,9.747543209876545,A,Medium Moving
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866,1.2570034052213397,A,Fast Moving
22759,SET OF 3 NOTEBOOKS IN PARCEL,8860,14138.4,634,1.6666153846153846,A,Fast Moving
21484,CHICK GREY HOT WATER BOTTLE,4085,14071.27,676,3.621854014598541,A,Fast Moving
21165,BEWARE OF THE CAT METAL SIGN ,9080,14070.08,779,1.6638770388958593,A,Fast Moving
22619,SET OF 6 SOLDIER SKITTLES,3762,13950.85,574,3.817216494845361,A,Fast Moving
21770,OPEN CLOSED METAL SIGN,2896,13926.81,580,4.944509466437178,A,Fast Moving
22384,LUNCH BAG PINK RETROSPOT,8738,13893.7,730,1.6429301075268816,A,Fast Moving
84378,SET OF 3 HEART COOKIE CUTTERS,11007,13862.84,944,1.2920062695924766,A,Fast Moving
22837,HOT WATER BOTTLE BABUSHKA ,3093,13807.25,354,4.617688022284123,A,Fast Moving
