StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AveragePrice
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,28513.300000000003,787,2.9024405506883606
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,27952.22,1053,6.194406779661017
22379,RECYCLING BAG RETROSPOT ,14259,27893.78,1013,2.09366927592955
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,27595.33,1145,4.975026086956522
22865,HAND WARMER OWL DESIGN,13675,27514.63,1058,2.1029791099000907
22188,BLACK HEART CARD HOLDER,10255,27324.45,487,3.838258196721312
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,27251.26,511,10.414902723735407
20725,LUNCH BAG RED SPOTTY,17456,27237.6,1059,1.6314392523364485
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,27222.52,1277,2.953152594887684
22077,6 RIBBONS RUSTIC CHARM,16026,27031.04,1361,1.7178992805755398
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,26847.1,721,1.914484181568088
22659,LUNCH BOX I LOVE LONDON,15156,26596.72,763,1.925752551020408
23245,SET OF 3 REGENCY CAKE TINS,5844,26566.28,718,4.932690707350902
23199,JUMBO BAG APPLES,13875,26426.3,718,2.0620027624309394
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,26407.35,1578,0.5449906425452278
22467,GUMBALL COAT RACK,11460,26149.13,928,2.497053191489362
22492,MINI PAINT SET VINTAGE ,41507,25900.19,618,0.6521359223300971
72741,GRAND CHOCOLATECANDLE,19284,25895.4,823,1.421912832929782
84991,60 TEATIME FAIRY CAKE CASES,52828,25785.92,1765,0.5432928847214562
22752,SET 7 BABUSHKA NESTING BOXES,3273,25620.99,577,8.411470085470086
22726,ALARM CLOCK BAKELIKE GREEN,6713,24898.96,1041,3.781159695817491
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,24450.6,712,1.9206675938803892
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,24323.85,465,1.9092356687898089
23355,HOT WATER BOTTLE KEEP CALM,5313,24302.55,719,4.866142270861833
47566B,TEA TIME PARTY BUNTING,5612,24255.3,655,4.725340393343419
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,24248.29,1189,2.0936026380873867
48138,DOOR MAT UNION FLAG,3733,24216.23,637,7.056379310344828
23201,JUMBO BAG ALPHABET,12533,24160.44,752,2.0582430647291945
22624,IVORY KITCHEN SCALES,2916,24137.48,1065,8.530816135084429
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,24098.03,920,0.2619978284473398
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,23812.52,1224,1.256736672051696
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,23784.8,465,10.618497854077251
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.51,1100,0.6429443447037702
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,23554.3,1003,1.253929273084479
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,23531.47,633,5.431876971608832
22697,GREEN REGENCY TEACUP AND SAUCER,8500,23507.24,933,2.928878306878307
22866,HAND WARMER SCOTTY DOG DESIGN,11667,23436.660000000003,939,2.089715447154472
22197,POPCORN HOLDER,30919,23417.51,632,0.8432312404287902
84836,ZINC METAL HEART DECORATION,19328,23331.43,1244,1.2495665878644602
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,23322.62,408,1.9980487804878049
22551,PLASTERS IN TIN SPACEBOY,14623,23194.95,1156,1.6505128205128203
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,23085.53,815,4.938075060532688
22507,MEMO BOARD RETROSPOT  DESIGN,5208,23083.44,737,4.923924221921516
22084,PAPER CHAIN KIT EMPIRE,8437,23049.95,704,2.906381486676017
23173,REGENCY TEAPOT ROSES ,2662,23033.52,354,9.70313725490196
82583,HOT BATHS METAL SIGN,11797,23010.120000000003,820,2.074575866188769
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,22805.99,815,0.8305875152998776
21930,JUMBO STORAGE BAG SKULLS,12305,22795.28,997,1.9759742828882292
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,22471.86,646,2.9539024390243904
22961,JAM MAKING SET PRINTED,15867,22328.95,903,1.4706291390728476
22867,HAND WARMER BIRD DESIGN,11000,22168.33,907,2.100426439232409
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,22109.08,385,4.887694300518135
82600,NO SINGING METAL SIGN,11194,22097.04,970,2.0697643442622957
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,22079.74,1087,1.2278837420526794
22383,LUNCH BAG SUKI  DESIGN ,13896,22026.4,1073,1.6415750915750915
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,21838.23,1160,0.5364412510566356
21231,SWEETHEART CERAMIC TRINKET BOX,18488,21793.25,1171,1.2468948247078464
21481,FAWN BLUE HOT WATER BOTTLE,7526,21779.5,834,3.1203333333333334
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,21682.03,1003,2.9468297455968693
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,21551.8,1348,0.5452838427947598
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,21540.44,789,1.227171464330413
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,21490.17,599,2.7292532467532467
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,21458.42,544,8.376727941176469
22835,HOT WATER BOTTLE I AM SO POORLY,4638,21398.28,815,4.77002444987775
22728,ALARM CLOCK BAKELIKE PINK,5833,21369.98,772,3.777695262483995
22087,PAPER BUNTING WHITE LACE,7752,21336.35,663,2.891445427728614
84406B,CREAM CUPID HEARTS COAT HANGER,6682,21256.0,724,3.38114010989011
20749,ASSORTED COLOUR MINI CASES,2972,21169.64,726,7.783772290809328
22607,WOODEN ROUNDERS GARDEN SET ,2406,20978.47,643,9.09470588235294
22113,GREY HEART HOT WATER BOTTLE,5623,20977.78,913,3.870615711252654
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,20950.16,1100,1.6515714285714285
22090,PAPER BUNTING RETROSPOT,7632,20933.24,658,2.9078280542986428
23202,JUMBO BAG VINTAGE LEAF,10695,20921.55,772,2.078562259306804
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,20838.9,758,3.8243483870967743
22605,WOODEN CROQUET GARDEN SET,1710,20813.81,548,13.36233151183971
22090,PAPER BUNTING RETRO SPOTS,7595,20723.25,607,2.9139837398373984
23203,JUMBO BAG VINTAGE DOILY ,10620,20641.4,621,2.061926751592357
21314,SMALL GLASS HEART TRINKET POT,10447,20588.26,711,2.086136680613668
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,20506.300000000003,654,3.917018072289157
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,20471.68,1097,1.648271827182718
22698,PINK REGENCY TEACUP AND SAUCER,7408,20329.640000000003,746,2.925139813581891
48184,DOORMAT ENGLISH ROSE ,3158,20298.8,464,7.711163793103449
20711,JUMBO BAG TOYS ,11326,20283.78,671,1.9533382789317504
22969,HOMEMADE JAM SCENTED CANDLES,14012,20204.8,577,1.4492720970537265
37449,CERAMIC CAKE STAND + HANGING CAKES,2277,20204.58,410,9.582457420924571
21790,VINTAGE SNAP CARDS,25120,19957.34,1480,0.8475531914893617
22585,PACK OF 6 BIRDY GIFT TAGS,16784,19950.85,950,1.2484327603640042
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4304,19921.27,692,4.89958393113343
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,19821.96,1141,0.8483304347826086
22083,PAPER CHAIN KIT RETRO SPOT,7351,19804.550000000003,490,2.897267206477733
22617,BAKING SET SPACEBOY DESIGN,4165,19719.21,883,4.983217097862768
22294,HEART FILIGREE DOVE  SMALL,16260,19686.6,707,1.245629228687415
22941,CHRISTMAS LIGHTS 10 REINDEER,2487,19590.9,406,8.442137592137591
22273,FELTCRAFT DOLL MOLLY,7203,19332.93,701,2.947116736990155
22570,FELTCRAFT CUSHION RABBIT,5420,19282.55,677,3.732161764705882
21524,DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5,636,7.825094339622642
48188,DOORMAT WELCOME PUPPIES,3345,19178.67,368,7.803179347826087
22625,RED KITCHEN SCALES,2360,19149.63,781,8.440307298335467
21791,VINTAGE HEADS AND TAILS CARD GAME ,16199,19147.65,1050,1.2553514526710403
22568,FELTCRAFT CUSHION OWL,5312,19128.13,771,3.759832041343669
22569,FELTCRAFT CUSHION BUTTERFLY,5357,18865.21,679,3.730334302325581
22413,METAL SIGN TAKE IT OR LEAVE IT ,6814,18863.02,766,2.942393272962484
85150,LADIES & GENTLEMEN METAL SIGN,8078,18847.98,889,2.5220805369127515
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,18798.98,281,1.2356028368794325
22501,PICNIC BASKET WICKER LARGE,2055,18794.25,497,9.797122736418512
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,18618.75,432,7.75091533180778
21622,VINTAGE UNION JACK CUSHION COVER,3517,18495.47,550,4.949712230215828
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13410,18411.74,1017,1.4597565725413828
21213,PACK OF 72 SKULL CAKE CASES,38530,18319.18,1156,0.5392444821731749
22499,WOODEN UNION JACK BUNTING,3165,18251.28,632,5.9413679245283015
23206,LUNCH BAG APPLE DESIGN,11530,18220.5,866,1.6413439635535307
22384,LUNCH BAG PINK POLKADOT,11392,18207.2,1101,1.651290322580645
21908,CHOCOLATE THIS WAY METAL SIGN,9396,18041.24,801,2.107663782447466
84949,SILVER HANGING T-LIGHT HOLDER,11635,18001.35,612,1.632958199356913
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,17888.71,383,12.110182291666666
22561,WOODEN SCHOOL COLOURING SET,11158,17861.22,838,1.6494392523364485
21174,POTTERING IN THE SHED METAL SIGN,9247,17814.51,855,1.9918013856812933
22555,PLASTERS IN TIN STRONGMAN,11048,17664.44,856,1.6477445339470655
22456,NATURAL SLATE CHALKBOARD LARGE ,4016,17637.16,595,4.880536912751678
23344,JUMBO BAG 50'S CHRISTMAS ,8933,17636.04,586,2.070135135135135
22427,ENAMEL FLOWER JUG CREAM,3039,17471.23,702,5.912011331444759
21936,RED RETROSPOT PICNIC BAG,6292,17462.96,701,2.938879432624114
22061,LARGE CAKE STAND  HANGING STRAWBERY,2086,17354.85,443,9.548828828828828
22147,FELTCRAFT BUTTERFLY HEARTS,12605,17238.05,1026,1.4482816901408448
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,17162.93,559,1.2380069324090122
21479,WHITE SKULL HOT WATER BOTTLE ,4538,16917.32,738,3.8781432360742714
21136,PAINTED METAL PEARS ASSORTED,10255,16907.51,714,1.6879916897506926
22633,HAND WARMER UNION JACK,8364,16857.36,790,2.0868471720818293
22560,TRADITIONAL MODELLING CLAY,14393,16851.64,655,1.251544227886057
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,16833.35,585,0.8471959459459459
23203,JUMBO BAG DOILEY PATTERNS,8735,16737.1,454,2.0462800875273524
22169,FAMILY ALBUM WHITE PICTURE FRAME,2094,16676.94,570,8.373842105263158
22505,MEMO BOARD COTTAGE DESIGN,3605,16599.89,655,4.918519637462236
21218,RED SPOTTY BISCUIT TIN,4715,16431.45,588,3.713952702702703
22847,BREAD BIN DINER STYLE IVORY,1049,16335.79,435,16.50880459770115
84992,72 SWEETHEART FAIRY CAKE CASES,33936,16178.47,1176,0.5467901234567901
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2266,15892.74,508,7.849863813229572
21164,HOME SWEET HOME METAL SIGN ,5839,15888.490000000002,630,2.9307278481012657
22297,HEART IVORY TRELLIS SMALL,12939,15836.59,646,1.2510660660660662
22424,ENAMEL BREAD BIN CREAM,1300,15621.65,559,12.654785714285715
48173C,DOORMAT BLACK FLOCK ,2813,15618.36,290,7.661408934707905
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9827,15614.59,991,1.6611874386653582
22083,PAPER CHAIN KIT RETROSPOT,5514,15411.86,585,2.945646258503402
21877,HOME SWEET HOME MUG,13856,15399.56,650,1.314616564417178
22383,LUNCH BAG SUKI DESIGN ,9570,15332.9,899,1.6533224043715846
22690,DOORMAT HOME SWEET HOME BLUE ,2493,15329.57,401,7.726791044776119
71053,WHITE METAL LANTERN,4306,15309.64,583,3.6891666666666665
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,15305.19,872,1.6511098527746315
22632,HAND WARMER RED RETROSPOT,7578,15272.52,675,2.091244635193133
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,15241.51,821,0.9765096618357488
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6418,15232.34,798,2.5467447595561032
22296,HEART IVORY TRELLIS LARGE,9416,15218.08,739,1.650894736842105
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,15176.42,534,1.2427746741154562
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1632,15172.6,444,9.841973094170402
20685,DOOR MAT RED SPOT,2426,15093.48,369,7.176531165311653
22041,"RECORD FRAME 7"" SINGLE SIZE ",6845,15088.77,319,2.454953560371517
21843,RETRO SPOT CAKE STAND,1431,15083.45,295,10.86864406779661
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4198,15067.14,416,3.73127358490566
20719,WOODLAND CHARLOTTE BAG,19027,15030.64,1062,0.8416168224299065
22634,CHILDS BREAKFAST SET SPACEBOY ,1627,15021.4,464,9.744635193133048
22502,PICNIC BASKET WICKER SMALL,2985,14945.6,566,5.235726795096322
22652,TRAVEL SEWING KIT,9353,14859.81,716,1.6529080932784637
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,14818.01,1133,0.548360655737705
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3405,14796.15,373,5.878016085790884
22635,CHILDS BREAKFAST SET DOLLY GIRL ,1598,14787.95,450,9.789601769911505
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4169,14719.35,578,3.705662650602409
21914,BLUE HARMONICA IN BOX ,11830,14667.47,815,1.2688526570048309
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2309,14658.65,510,6.686
17003,BROCADE RING PURSE ,70082,14640.96,387,0.2653689567430025
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,451,2.0591832229580573
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,4051,14609.91,460,3.732167381974249
21891,TRADITIONAL WOODEN SKIPPING ROPE,11721,14603.13,664,1.3205822416302766
82582,AREA PATROLLED METAL SIGN,7346,14563.1,696,2.096695156695157
84375,SET OF 20 KIDS COOKIE CUTTERS,7275,14558.97,626,2.0890506329113925
20750,RED RETROSPOT MINI CASES,2021,14548.55,479,7.777027027027027
22193,RED DINER WALL CLOCK,1775,14527.09,554,8.479584837545126
85014B,RED RETROSPOT UMBRELLA,2613,14439.12,421,6.046413301662708
21889,WOODEN BOX OF DOMINOES,11803,14430.66,869,1.2633558558558555
21258,VICTORIAN SEWING BOX LARGE,1229,14406.63,344,12.59304347826087
22487,WHITE WOOD GARDEN PLANT LADDER,1519,14256.96,808,9.747543209876545
22993,SET OF 4 PANTRY JELLY MOULDS,11769,14151.42,866,1.2570034052213397
22759,SET OF 3 NOTEBOOKS IN PARCEL,8860,14138.4,634,1.6666153846153846
21484,CHICK GREY HOT WATER BOTTLE,4085,14071.27,676,3.621854014598541
21165,BEWARE OF THE CAT METAL SIGN ,9080,14070.08,779,1.6638770388958593
22619,SET OF 6 SOLDIER SKITTLES,3762,13950.85,574,3.817216494845361
21770,OPEN CLOSED METAL SIGN,2896,13926.81,580,4.944509466437178
22384,LUNCH BAG PINK RETROSPOT,8738,13893.7,730,1.6429301075268816
84378,SET OF 3 HEART COOKIE CUTTERS,11007,13862.84,944,1.2920062695924766
22837,HOT WATER BOTTLE BABUSHKA ,3093,13807.25,354,4.617688022284123
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,3820,13805.16,445,3.737155555555556
84997D,CHILDRENS CUTLERY POLKADOT PINK,3528,13788.3,323,4.172576687116565
21380,WOODEN HAPPY BIRTHDAY GARLAND,4877,13770.15,540,2.9560917431192664
22606,WOODEN SKITTLES GARDEN SET,1022,13722.74,337,15.166911764705882
35004C,SET OF 3 COLOURED  FLYING DUCKS,2851,13577.15,229,5.1460698689956335
48111,DOORMAT 3 SMILEY CATS,2290,13552.78,326,7.597125382262997
22940,FELTCRAFT CHRISTMAS FAIRY,3286,13462.18,547,4.30169946332737
21217,RED SPOTTY ROUND CAKE TINS,1415,13458.25,418,9.837559808612438
21169,YOU'RE CONFUSING ME METAL SIGN ,8642,13438.58,621,1.661563981042654
47556B,TEA TIME TEA TOWELS ,5141,13363.35,408,2.942092457420925
84050,PINK HEART SHAPE EGG FRYING PAN,9547,13316.63,557,1.6119148936170211
22191,IVORY DINER WALL CLOCK,1629,13271.9,475,8.46265690376569
22271,FELTCRAFT DOLL ROSIE,4744,13244.46,691,2.945558739255014
79323P,PINK CHERRY LIGHTS,2234,13198.1,229,6.426086956521739
22295,HEART FILIGREE DOVE LARGE,8159,13184.07,620,1.653956043956044
22692,DOORMAT WELCOME TO OUR HOME,1935,13103.81,460,7.822369565217391
21094,SET/6 RED SPOTTY PAPER PLATES,17752,13068.56,692,0.8274137931034483
23200,JUMBO BAG PEARS,6729,13034.92,470,2.0720718816067656
23108,SET OF 10 LED DOLLY LIGHTS,2192,12972.73,351,6.147840909090909
23313,VINTAGE CHRISTMAS BUNTING,2748,12960.12,359,4.951311475409836
23356,LOVE HOT WATER BOTTLE,2325,12954.75,449,5.891176470588236
22236,CAKE STAND 3 TIER MAGIC GARDEN,1074,12951.9,391,12.607289002557543
22730,ALARM CLOCK BAKELIKE IVORY,3451,12951.5,616,3.7518901453958
21390,FILIGRIS HEART WITH BUTTERFLY,10622,12849.14,482,1.251943887775551
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,4538,12846.14,714,2.988861111111111
35970,ZINC FOLKART SLEIGH BELLS,7851,12806.27,545,1.7138709677419353
15044A,PINK PAPER PARASOL ,4894,12803.78,194,2.95659793814433
22621,TRADITIONAL KNITTING NANCY,8365,12780.57,719,1.5821739130434782
21704,BAG 250g SWIRLY MARBLES,16824,12750.54,464,0.8466808510638297
22636,CHILDS BREAKFAST SET CIRCUS PARADE,1565,12716.38,460,8.418963282937366
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,5331,12669.04,645,2.54403400309119
22946,WOODEN ADVENT CALENDAR CREAM,869,12588.45,208,16.29665071770335
22952,60 CAKE CASES VINTAGE CHRISTMAS,25179,12556.77,801,0.5424455205811138
22655,VINTAGE RED KITCHEN CABINET,75,12550.0,52,184.23076923076923
C2,CARRIAGE,249,12546.0,248,50.516129032258064
48116,DOORMAT MULTICOLOUR STRIPE,2273,12541.22,193,7.578549222797928
48187,DOOR MAT NEW ENGLAND,1953,12520.95,423,7.125791962174941
22150,3 STRIPEY MICE FELTCRAFT,6971,12515.65,717,1.9480354706684853
21871,SAVE THE PLANET MUG,11099,12515.44,600,1.2988962108731466
23301,GARDENERS KNEELING PAD KEEP CALM ,7722,12463.78,756,1.6639238845144355
62018,SOMBRERO ,9548,12413.8,123,1.7906504065040652
21259,VICTORIAN SEWING BOX SMALL ,2171,12409.96,553,5.924025270758123
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3407,12407.83,621,3.749778481012658
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10290,12354.22,625,1.2650866141732284
48129,DOORMAT TOPIARY,2048,12345.7,300,7.785249169435216
22766,PHOTO FRAME CORNICE,4246,12280.18,580,2.951934931506849
22355,CHARLOTTE BAG SUKI DESIGN,15411,12268.65,957,0.84649377593361
22627,MINT KITCHEN SCALES,1476,12219.99,558,8.458121645796064
22303,COFFEE MUG APPLES DESIGN,5310,12179.95,480,2.5136798336798334
75049L,LARGE CIRCULAR MIRROR MOBILE,13566,12173.5,230,1.11890756302521
21912,VINTAGE SNAKES & LADDERS,3387,12157.97,615,3.785024311183145
22485,SET OF 2 WOODEN MARKET CRATES,995,12146.25,341,12.634210526315789
22776,SWEETHEART CAKESTAND 3 TIER,1292,12130.4,466,9.83175965665236
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15376,12124.12,889,0.8435448577680525
21669,BLUE STRIPE CERAMIC DRAWER KNOB,9897,12115.21,639,1.2873159509202454
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,2944,12089.2,283,5.8522807017543865
85042,ANTIQUE LILY FAIRY LIGHTS,2668,12081.0,281,4.827192982456141
20724,RED RETROSPOT CHARLOTTE BAG,15168,12034.8,908,0.8483025027203482
23207,LUNCH BAG ALPHABET DESIGN,7533,11994.41,647,1.652969696969697
21217,RED RETROSPOT ROUND CAKE TINS,1268,11983.6,350,9.867613636363636
